Date,Apple,Adobe,AMD,Amazon,DELL,Facebook,Alphabet,Intel,Lenovo,Microsoft,Netflix,NVIDIA,Qualcomm,AT&T,Verizon,mean
2020-04-30,1.6500000000000001,1.9500000000000002,-1.6199999999999999,2.5700000000000003,-0.38999999999999996,-0.74,1.48,-1.9299999999999997,-1.13,-0.10999999999999999,2.66,-1.02,-1.66,-1.38,-0.33,0.0
2020-05-01,2.7199999999999998,0.75,-0.6000000000000001,-0.43999999999999995,-2.09,2.06,1.22,-0.5800000000000001,-6.23,1.03,1.77,1.18,0.15999999999999992,-1.1,0.11999999999999988,0.0
2020-05-04,-0.71,0.3700000000000001,3.41,0.5500000000000003,0.13000000000000034,0.43999999999999995,-0.96,-0.5699999999999998,2.01,0.40000000000000036,0.3900000000000001,1.62,-1.4,-2.59,-3.16,0.0
2020-05-05,0.98,0.91,-2.19,-0.82,-1.85,0.15,0.99,0.06,0.04000000000000001,0.21000000000000002,-0.54,-0.45999999999999996,1.2799999999999998,0.13,1.04,0.0
2020-05-06,0.03,1.26,-0.53,0.9099999999999999,-0.30000000000000004,0.14,-0.9600000000000001,0.21,2.41,0.22,1.13,0.26,0.05,-3.48,-1.31,0.0
2020-05-07,0.45999999999999996,-0.26000000000000006,-1.56,-0.010000000000000009,1.97,0.33999999999999997,0.8799999999999999,-0.98,0.29,-0.020000000000000018,0.20999999999999996,0.78,-0.8,-0.6699999999999999,-0.6400000000000001,0.0
2020-05-08,0.62,-1.52,1.1400000000000001,-0.54,2.1,-0.7999999999999999,-0.6699999999999999,-0.85,-0.21999999999999997,-1.01,-0.53,0.6900000000000001,0.2300000000000001,0.86,0.5399999999999999,0.0
2020-05-11,0.9800000000000002,0.27,4.11,0.17999999999999994,-1.01,-0.16999999999999993,0.69,-0.61,-1.62,0.7,-0.30000000000000004,2.04,-1.02,-2.17,-2.09,0.0
2020-05-12,0.2999999999999998,0.6099999999999999,-2.0400000000000005,0.040000000000000036,-0.6400000000000001,0.8199999999999998,-0.03000000000000025,-0.7200000000000002,4.22,0.020000000000000018,0.020000000000000018,-1.6300000000000003,-1.21,0.21999999999999975,0.04999999999999982,0.0
2020-05-13,0.10000000000000009,-0.6099999999999999,-1.9,1.59,-1.58,-0.5299999999999998,-0.48,0.33000000000000007,0.64,0.010000000000000009,2.13,-0.19999999999999996,0.44999999999999996,-0.9300000000000002,0.98,0.0
2020-05-14,-0.3599999999999999,-1.6199999999999997,2.62,-0.8299999999999998,2.2200000000000006,0.0900000000000003,-0.2599999999999998,1.06,-0.2599999999999998,-0.32999999999999985,-2.67,0.40000000000000036,1.0500000000000003,0.13000000000000034,-1.2599999999999998,0.0
2020-05-15,0.3700000000000001,1.83,-0.43000000000000016,-0.3400000000000001,0.17999999999999972,0.6499999999999999,-0.24,-0.55,-3.63,0.20999999999999996,0.98,5.54,-0.6100000000000001,-1.97,-1.9300000000000002,0.0
2020-05-18,-0.13,-1.67,-1.41,0.21000000000000008,1.4200000000000002,-0.20999999999999996,1.03,-0.39999999999999997,0.3700000000000001,-1.15,-0.38999999999999996,-0.82,2.76,0.8900000000000001,-0.57,0.0
2020-05-19,-0.41,0.8200000000000001,2.18,0.99,1.22,1.88,-0.6100000000000001,0.46,-0.8600000000000001,-0.5700000000000001,-0.33,0.36,-1.8900000000000001,-1.51,-1.7,0.0
2020-05-20,0.1200000000000001,1.01,-0.97,0.1200000000000001,-0.1499999999999999,2.2,0.75,2.48,-1.5699999999999998,-0.22999999999999993,-2.1399999999999997,-0.9199999999999999,0.15000000000000002,0.40000000000000013,-1.2,0.0
2020-05-21,1.0,1.61,-2.01,-0.5599999999999998,0.9,0.15000000000000013,1.27,-0.19999999999999996,-1.99,0.51,-1.1700000000000002,-1.4799999999999998,-0.28,1.5,0.7200000000000001,0.0
2020-05-22,0.6599999999999999,0.6799999999999999,0.39999999999999997,-1.07,-1.09,1.14,0.34,0.12,-1.1,-0.16,-2.09,1.9499999999999997,0.23000000000000004,0.010000000000000009,-0.07,0.0
2020-05-26,0.07000000000000028,-1.52,-2.87,0.6900000000000002,1.4500000000000002,-1.0,0.7300000000000002,0.06000000000000005,3.1,-0.3999999999999999,-0.8799999999999999,-2.63,-0.5499999999999998,2.75,1.07,0.0
